countryregion,countrycode,percent_2018_age65
Aruba,ABW,13.55094714
Angola,AGO,2.216373648
Albania,ALB,13.74473591
Andorra,AND,
United_Arab_Emirates,ARE,1.085000985
Argentina,ARG,11.11778888
Australia,AUS,15.65647523
Austria,AUT,19.00156646
Azerbaijan,AZE,6.195182751
Belgium,BEL,18.78874374
Benin,BEN,3.253605297
Burkina_Faso,BFA,2.406980829
Bangladesh,BGD,5.15839064
Bulgaria,BGR,21.02191443
Bahrain,BHR,2.426333878
Bosnia_and_Herzegovina,BIH,16.47031747
Belarus,BLR,14.84514817
Bermuda,BMU,
Bolivia,BOL,7.191947392
Brazil,BRA,8.922837832
Barbados,BRB,15.80269396
Brunei_Darussalam,BRN,4.873147568
Botswana,BWA,4.223874346
Central_African_Republic,CAF,2.825773707
Canada,CAN,17.23200668
Switzerland,CHE,18.62321656
Chile,CHL,11.52980166
China,CHN,10.92088354
Cote_dIvoire,CIV,2.858943015
Cameroon,CMR,2.728877355
Democratic_Republic_of_the_Congo,COD,3.017840622
Congo,COG,2.681719539
Colombia,COL,8.47804702
Cape_Verde,CPV,4.609327157
Costa_Rica,CRI,9.549847673
Cuba,CUB,15.18621142
Cyprus,CYP,13.71906177
Czechia,CZE,19.42087689
Germany,DEU,21.461962
Djibouti,DJI,4.527579378
Denmark,DNK,19.81295264
Dominican_Republic,DOM,7.082817476
Algeria,DZA,6.362496545
Ecuador,ECU,7.157289727
Egypt,EGY,5.229779346
Eritrea,ERI,
Spain,ESP,19.37850752
Estonia,EST,19.62635685
Ethiopia,ETH,3.501132998
Finland,FIN,21.72078755
France,FRA,20.03462475
Gabon,GAB,3.563907468
United_Kingdom,GBR,18.39586567
Georgia,GEO,14.86549143
Ghana,GHA,3.068898007
Guinea,GIN,2.926022448
Greece,GRC,21.65527208
Guatemala,GTM,4.812072508
Guam,GUM,9.849910719
Guyana,GUY,6.450271243
Honduras,HND,4.690617659
Croatia,HRV,20.44543301
Haiti,HTI,4.949403848
Hungary,HUN,19.15772538
Indonesia,IDN,5.857165613
India,IND,6.179955649
Ireland,IRL,13.8658017
Iran,IRN,6.184573806
Iraq,IRQ,3.323599663
Iceland,ISL,14.79509256
Israel,ISR,11.97698602
Italy,ITA,22.7516796
Jamaica,JAM,8.796642551
Jordan,JOR,3.846490398
Japan,JPN,27.57636991
Kazakhstan,KAZ,7.391846271
Kenya,KEN,2.339186612
Kyrgyzstan,KGZ,4.494727976
Cambodia,KHM,4.568680018
South_Korea,KOR,14.41855583
Kuwait,KWT,2.550472384
Lebanon,LBN,7.002368134
Liberia,LBR,3.2534318
Libya,LBY,4.392040259
Sri_Lanka,LKA,10.47321975
Lithuania,LTU,19.70503316
Luxembourg,LUX,14.18315418
Latvia,LVA,20.04362032
Morocco,MAR,7.012904821
Moldova,MDA,11.46955634
Madagascar,MDG,2.986717126
Mexico,MEX,7.223684981
Mali,MLI,2.507229758
Myanmar,MMR,5.784641933
Mozambique,MOZ,2.890764457
Mauritania,MRT,3.141112158
Mauritius,MUS,11.47417307
Malawi,MWI,2.64543493
Malaysia,MYS,6.671754625
Niger,NER,2.595007883
Nigeria,NGA,2.747377005
Netherlands,NLD,19.19619263
Norway,NOR,17.04922216
New_Zealand,NZL,15.65242453
Oman,OMN,2.392786956
Pakistan,PAK,4.312774311
Panama,PAN,8.10473108
Peru,PER,8.088392792
Philippines,PHL,5.122568768
Poland,POL,17.51781676
Puerto_Rico,PRI,18.67485021
Portugal,PRT,21.95385754
Paraguay,PRY,6.430215009
Palestine,PSE,3.133305737
Qatar,QAT,1.370070339
Romania,ROU,18.33870139
Russia,RUS,14.67470832
Rwanda,RWA,2.938196078
Saudi_Arabia,SAU,3.314088023
Sudan,SDN,3.581160528
Senegal,SEN,3.086823701
Singapore,SGP,11.46338019
Sierra_Leone,SLE,2.966556211
El_Salvador,SLV,8.287090005
San_Marino,SMR,
Serbia,SRB,18.34579269
South_Sudan,SSD,3.39848288
Slovakia,SVK,15.6292465
Slovenia,SVN,19.60687965
Sweden,SWE,20.09552493
Syria,SYR,4.503124421
Chad,TCD,2.480518944
Togo,TGO,2.869468011
Thailand,THA,11.90089314
Tajikistan,TJK,3.021887552
Trinidad_and_Tobago,TTO,10.73495352
Tunisia,TUN,8.315679079
Turkey,TUR,8.48321294
United_Republic_of_Tanzania,TZA,2.601299178
Uganda,UGA,1.94098692
Ukraine,UKR,16.43468644
Uruguay,URY,14.81451953
United_States_of_America,USA,15.80765406
Uzbekistan,UZB,4.419137878
Venezuela,VEN,7.26698662
Vietnam,VNM,7.274978298
South_Africa,ZAF,5.318005005
Zambia,ZMB,2.099678026
Zimbabwe,ZWE,2.939523653
