countryregion,countrycode,popdata2019
Aruba,ABW,106310
Angola,AGO,31825299
Albania,ALB,2862427
Andorra,AND,76177
United_Arab_Emirates,ARE,9770526
Argentina,ARG,44780675
Australia,AUS,25203200
Austria,AUT,8858775
Azerbaijan,AZE,10047719
Belgium,BEL,11455519
Benin,BEN,11801151
Burkina_Faso,BFA,20321383
Bangladesh,BGD,163046173
Bulgaria,BGR,7000039
Bahrain,BHR,1641164
Bosnia_and_Herzegovina,BIH,3300998
Belarus,BLR,9452409
Bermuda,BMU,62508
Bolivia,BOL,11513102
Brazil,BRA,211049519
Barbados,BRB,287021
Brunei_Darussalam,BRN,433296
Botswana,BWA,2303703
Central_African_Republic,CAF,4745179
Canada,CAN,37411038
Switzerland,CHE,8544527
Chile,CHL,18952035
China,CHN,1433783692
Cote_dIvoire,CIV,25716554
Cameroon,CMR,25876387
Democratic_Republic_of_the_Congo,COD,86790568
Congo,COG,5380504
Colombia,COL,50339443
Cape_Verde,CPV,549936
Costa_Rica,CRI,5047561
Cuba,CUB,11333484
Cyprus,CYP,875899
Czechia,CZE,10649800
Germany,DEU,83019213
Djibouti,DJI,973557
Denmark,DNK,5806081
Dominican_Republic,DOM,10738957
Algeria,DZA,43053054
Ecuador,ECU,17373657
Egypt,EGY,100388076
Eritrea,ERI,3497117
Spain,ESP,46937060
Estonia,EST,1324820
Ethiopia,ETH,112078727
Finland,FIN,5517919
France,FRA,67012883
Gabon,GAB,2172578
United_Kingdom,GBR,66647112
Georgia,GEO,3996762
Ghana,GHA,30417858
Guinea,GIN,12771246
Greece,GRC,10724599
Guatemala,GTM,17581476
Guam,GUM,167295
Guyana,GUY,782775
Honduras,HND,9746115
Croatia,HRV,4076246
Haiti,HTI,11263079
Hungary,HUN,9772756
Indonesia,IDN,270625567
India,IND,1366417756
Ireland,IRL,4904240
Iran,IRN,82913893
Iraq,IRQ,39309789
Iceland,ISL,356991
Israel,ISR,8519373
Italy,ITA,60359546
Jamaica,JAM,2948277
Jordan,JOR,10101697
Japan,JPN,126860299
Kazakhstan,KAZ,18551428
Kenya,KEN,52573967
Kyrgyzstan,KGZ,6415851
Cambodia,KHM,16486542
South_Korea,KOR,51225321
Kuwait,KWT,4207077
Lebanon,LBN,6855709
Liberia,LBR,4937374
Libya,LBY,6777453
Sri_Lanka,LKA,21323734
Lithuania,LTU,2794184
Luxembourg,LUX,613894
Latvia,LVA,1919968
Morocco,MAR,36471766
Moldova,MDA,4043258
Madagascar,MDG,26969306
Mexico,MEX,127575529
Mali,MLI,19658023
Myanmar,MMR,54045422
Mozambique,MOZ,30366043
Mauritania,MRT,4525698
Mauritius,MUS,1269670
Malawi,MWI,18628749
Malaysia,MYS,31949789
Niger,NER,23310719
Nigeria,NGA,200963603
Netherlands,NLD,17282163
Norway,NOR,5328212
New_Zealand,NZL,4783062
Oman,OMN,4974992
Pakistan,PAK,216565317
Panama,PAN,4246440
Peru,PER,32510462
Philippines,PHL,108116622
Poland,POL,37972812
Puerto_Rico,PRI,2933404
Portugal,PRT,10276617
Paraguay,PRY,7044639
Palestine,PSE,4981422
Qatar,QAT,2832071
Romania,ROU,19414458
Russia,RUS,145872260
Rwanda,RWA,12626938
Saudi_Arabia,SAU,34268529
Sudan,SDN,42813237
Senegal,SEN,16296362
Singapore,SGP,5804343
Sierra_Leone,SLE,7813207
El_Salvador,SLV,6453550
San_Marino,SMR,34453
Serbia,SRB,6963764
South_Sudan,SSD,11062114
Slovakia,SVK,5450421
Slovenia,SVN,2080908
Sweden,SWE,10230185
Syria,SYR,17070132
Chad,TCD,15946882
Togo,TGO,8082359
Thailand,THA,69625581
Tajikistan,TJK,9321023
Trinidad_and_Tobago,TTO,1394969
Tunisia,TUN,11694721
Turkey,TUR,82003882
United_Republic_of_Tanzania,TZA,58005461
Uganda,UGA,44269587
Ukraine,UKR,43993643
Uruguay,URY,3461731
United_States_of_America,USA,329064917
Uzbekistan,UZB,32981715
Venezuela,VEN,28515829
Vietnam,VNM,96462108
South_Africa,ZAF,58558267
Zambia,ZMB,17861034
Zimbabwe,ZWE,14645473
