countryregion,countrycode,gdp
Aruba,ABW,25976.24
Angola,AGO,3037.98
Albania,ALB,5372.7402
Andorra,AND,42029.801
United_Arab_Emirates,ARE,37749.879
Argentina,ARG,9887.79
Australia,AUS,53825.16
Austria,AUT,50022.609
Azerbaijan,AZE,4689.3799
Belgium,BEL,45175.59
Benin,BEN,1216.63
Burkina_Faso,BFA,717.96002
Bangladesh,BGD,1905.72
Bulgaria,BGR,9518.4404
Bahrain,BHR,25273.15
Bosnia_and_Herzegovina,BIH,5741.7598
Belarus,BLR,6603.9199
Bermuda,BMU,98125
Bolivia,BOL,3670.96
Brazil,BRA,8796.9102
Barbados,BRB,18069.381
Brunei_Darussalam,BRN,
Botswana,BWA,7859.1802
Central_African_Republic,CAF,447.98999
Canada,CAN,46212.84
Switzerland,CHE,83716.813
Chile,CHL,15399.24
China,CHN,10098.87
Cote_dIvoire,CIV,1691.3101
Cameroon,CMR,1514.6
Democratic_Republic_of_the_Congo,COD,
Congo,COG,
Colombia,COL,6508.1299
Cape_Verde,CPV,
Costa_Rica,CRI,12014.8
Cuba,CUB,8821.7998
Cyprus,CYP,27719.689
Czechia,CZE,23213.949
Germany,DEU,46563.988
Djibouti,DJI,2936.21
Denmark,DNK,59795.27
Dominican_Republic,DOM,8629.25
Algeria,DZA,3980.1201
Ecuador,ECU,6249.3901
Egypt,EGY,
Eritrea,ERI,342.60001
Spain,ESP,29961.109
Estonia,EST,23523.6
Ethiopia,ETH,953.17999
Finland,FIN,48868.738
France,FRA,41760.609
Gabon,GAB,8112.3198
United_Kingdom,GBR,41030.23
Georgia,GEO,4289.3198
Ghana,GHA,2223.4199
Guinea,GIN,981.02002
Greece,GRC,19974.369
Guatemala,GTM,4616.8501
Guam,GUM,35712.602
Guyana,GUY,5252.0498
Honduras,HND,2548.46
Croatia,HRV,14949.76
Haiti,HTI,784.08002
Hungary,HUN,17463.279
Indonesia,IDN,4163.7598
India,IND,2171.6399
Ireland,IRL,77771.211
Iran,IRN,
Iraq,IRQ,5738.4502
Iceland,ISL,67037.344
Israel,ISR,42823.309
Italy,ITA,32946.52
Jamaica,JAM,5460.98
Jordan,JOR,4386.6099
Japan,JPN,40846.781
Kazakhstan,KAZ,9139.1104
Kenya,KEN,1997.55
Kyrgyzstan,KGZ,1292.98
Cambodia,KHM,1620.64
South_Korea,KOR,
Kuwait,KWT,29266.98
Lebanon,LBN,9654.8096
Liberia,LBR,703.83002
Libya,LBY,5019.5811
Sri_Lanka,LKA,3946.5901
Lithuania,LTU,19266.789
Luxembourg,LUX,113196.49
Latvia,LVA,18171.65
Morocco,MAR,3345.03
Moldova,MDA,3300.0901
Madagascar,MDG,463.87
Mexico,MEX,10118.17
Mali,MLI,924.17798
Myanmar,MMR,1244.73
Mozambique,MOZ,484.41
Mauritania,MRT,1392.46
Mauritius,MUS,11360.67
Malawi,MWI,
Malaysia,MYS,11136.81
Niger,NER,405.10001
Nigeria,NGA,2222.01
Netherlands,NLD,52367.852
Norway,NOR,77975.43
New_Zealand,NZL,40634.141
Oman,OMN,17791.029
Pakistan,PAK,1388.24
Panama,PAN,16245.45
Peru,PER,7046.79
Philippines,PHL,3294.47
Poland,POL,14901.55
Puerto_Rico,PRI,31538.174
Portugal,PRT,23030.789
Paraguay,PRY,5692.1802
Palestine,PSE,
Qatar,QAT,69687.547
Romania,ROU,12482.97
Russia,RUS,
Rwanda,RWA,824.92999
Saudi_Arabia,SAU,22865.18
Sudan,SDN,714.29999
Senegal,SEN,1427.87
Singapore,SGP,63987.07
Sierra_Leone,SLE,
El_Salvador,SLV,4008.02
San_Marino,SMR,47279.93
Serbia,SRB,7397.6899
South_Sudan,SSD,
Slovakia,SVK,19547.66
Slovenia,SVN,26170.25
Sweden,SWE,51241.91
Syria,SYR,
Chad,TCD,861.25
Togo,TGO,671.40002
Thailand,THA,7791.9502
Tajikistan,TJK,
Trinidad_and_Tobago,TTO,16365.64
Tunisia,TUN,3287.0901
Turkey,TUR,8957.8896
United_Republic_of_Tanzania,TZA,1104.79
Uganda,UGA,770.06
Ukraine,UKR,3592.1699
Uruguay,URY,17029.25
United_States_of_America,USA,65111.602
Uzbekistan,UZB,1831.5699
Venezuela,VEN,
Vietnam,VNM,2739.8201
South_Africa,ZAF,6100.3501
Zambia,ZMB,1307.03
Zimbabwe,ZWE,859.95001
