countryregion,countrycode,date,cases,death,popdata2019
Albania,ALB,09-Mar-20,2,0,2862427
Albania,ALB,10-Mar-20,4,0,2862427
Albania,ALB,11-Mar-20,4,0,2862427
Albania,ALB,12-Mar-20,1,1,2862427
Albania,ALB,13-Mar-20,12,0,2862427
Albania,ALB,14-Mar-20,10,0,2862427
Albania,ALB,15-Mar-20,5,0,2862427
Albania,ALB,16-Mar-20,4,0,2862427
Albania,ALB,17-Mar-20,9,0,2862427
Albania,ALB,18-Mar-20,4,0,2862427
Albania,ALB,19-Mar-20,4,1,2862427
Albania,ALB,20-Mar-20,11,0,2862427
Albania,ALB,21-Mar-20,0,0,2862427
Albania,ALB,22-Mar-20,6,0,2862427
Albania,ALB,23-Mar-20,13,0,2862427
Albania,ALB,24-Mar-20,11,2,2862427
Albania,ALB,25-Mar-20,23,1,2862427
Albania,ALB,26-Mar-20,23,0,2862427
Albania,ALB,27-Mar-20,28,1,2862427
Albania,ALB,28-Mar-20,12,3,2862427
Albania,ALB,29-Mar-20,11,1,2862427
Albania,ALB,30-Mar-20,15,0,2862427
Albania,ALB,31-Mar-20,11,2,2862427
Albania,ALB,01-Apr-20,20,3,2862427
Albania,ALB,02-Apr-20,16,0,2862427
Albania,ALB,03-Apr-20,18,1,2862427
Albania,ALB,04-Apr-20,27,1,2862427
Albania,ALB,05-Apr-20,29,2,2862427
Albania,ALB,06-Apr-20,28,2,2862427
Albania,ALB,07-Apr-20,16,1,2862427
Albania,ALB,08-Apr-20,6,0,2862427
Albania,ALB,09-Apr-20,17,0,2862427
Albania,ALB,10-Apr-20,9,1,2862427
Albania,ALB,11-Apr-20,7,0,2862427
Albania,ALB,12-Apr-20,17,0,2862427
Albania,ALB,13-Apr-20,13,0,2862427
Albania,ALB,14-Apr-20,21,0,2862427
Albania,ALB,15-Apr-20,8,1,2862427
Albania,ALB,16-Apr-20,19,1,2862427
Albania,ALB,17-Apr-20,24,1,2862427
Albania,ALB,18-Apr-20,21,0,2862427
Albania,ALB,19-Apr-20,9,0,2862427
Albania,ALB,20-Apr-20,14,0,2862427
Albania,ALB,21-Apr-20,22,0,2862427
Albania,ALB,22-Apr-20,25,0,2862427
Albania,ALB,23-Apr-20,25,1,2862427
Albania,ALB,24-Apr-20,29,0,2862427
Albania,ALB,25-Apr-20,15,0,2862427
Albania,ALB,26-Apr-20,34,0,2862427
Albania,ALB,27-Apr-20,14,1,2862427
Albania,ALB,28-Apr-20,10,0,2862427
Albania,ALB,29-Apr-20,14,2,2862427
Albania,ALB,30-Apr-20,16,1,2862427
Albania,ALB,01-May-20,7,0,2862427
Albania,ALB,02-May-20,9,0,2862427
Albania,ALB,03-May-20,7,0,2862427
Albania,ALB,04-May-20,6,0,2862427
Albania,ALB,05-May-20,8,0,2862427
Albania,ALB,06-May-20,17,0,2862427
Albania,ALB,07-May-20,12,0,2862427
Albania,ALB,08-May-20,10,0,2862427
Albania,ALB,09-May-20,8,0,2862427
Albania,ALB,10-May-20,6,0,2862427
Albania,ALB,11-May-20,12,0,2862427
Albania,ALB,12-May-20,4,0,2862427
Albania,ALB,13-May-20,4,0,2862427
Albania,ALB,14-May-20,4,0,2862427
Albania,ALB,15-May-20,18,0,2862427
Albania,ALB,16-May-20,18,0,2862427
Albania,ALB,17-May-20,17,0,2862427
Albania,ALB,18-May-20,13,0,2862427
Albania,ALB,19-May-20,2,0,2862427
Albania,ALB,20-May-20,1,0,2862427
Albania,ALB,21-May-20,15,0,2862427
Albania,ALB,22-May-20,5,0,2862427
Albania,ALB,23-May-20,12,0,2862427
Albania,ALB,24-May-20,8,0,2862427
Albania,ALB,25-May-20,9,1,2862427
Albania,ALB,26-May-20,6,0,2862427
Albania,ALB,27-May-20,25,1,2862427
Albania,ALB,28-May-20,21,0,2862427
Albania,ALB,29-May-20,26,0,2862427
Albania,ALB,30-May-20,23,0,2862427
Algeria,DZA,26-Feb-20,1,0,43053054
Algeria,DZA,27-Feb-20,0,0,43053054
Algeria,DZA,28-Feb-20,0,0,43053054
Algeria,DZA,29-Feb-20,0,0,43053054
Algeria,DZA,01-Mar-20,2,0,43053054
Algeria,DZA,02-Mar-20,0,0,43053054
Algeria,DZA,04-Mar-20,2,0,43053054
Algeria,DZA,05-Mar-20,7,0,43053054
Algeria,DZA,06-Mar-20,5,0,43053054
Algeria,DZA,09-Mar-20,3,0,43053054
Algeria,DZA,12-Mar-20,0,0,43053054
Algeria,DZA,13-Mar-20,5,1,43053054
Algeria,DZA,14-Mar-20,1,1,43053054
Algeria,DZA,15-Mar-20,11,0,43053054
Algeria,DZA,16-Mar-20,11,2,43053054
Algeria,DZA,17-Mar-20,10,0,43053054
Algeria,DZA,18-Mar-20,2,1,43053054
Algeria,DZA,19-Mar-20,12,1,43053054
Algeria,DZA,20-Mar-20,18,1,43053054
Algeria,DZA,21-Mar-20,12,3,43053054
Algeria,DZA,22-Mar-20,37,5,43053054
Algeria,DZA,23-Mar-20,62,2,43053054
Algeria,DZA,24-Mar-20,29,0,43053054
Algeria,DZA,25-Mar-20,34,2,43053054
Algeria,DZA,26-Mar-20,38,2,43053054
Algeria,DZA,27-Mar-20,65,4,43053054
Algeria,DZA,28-Mar-20,42,1,43053054
Algeria,DZA,29-Mar-20,45,3,43053054
Algeria,DZA,30-Mar-20,57,2,43053054
Algeria,DZA,31-Mar-20,73,4,43053054
Algeria,DZA,01-Apr-20,132,9,43053054
Algeria,DZA,02-Apr-20,131,14,43053054
Algeria,DZA,03-Apr-20,139,5,43053054
Algeria,DZA,04-Apr-20,185,42,43053054
Algeria,DZA,05-Apr-20,80,25,43053054
Algeria,DZA,06-Apr-20,69,22,43053054
Algeria,DZA,07-Apr-20,103,21,43053054
Algeria,DZA,08-Apr-20,45,20,43053054
Algeria,DZA,09-Apr-20,104,12,43053054
Algeria,DZA,10-Apr-20,94,30,43053054
Algeria,DZA,11-Apr-20,95,21,43053054
Algeria,DZA,12-Apr-20,64,19,43053054
Algeria,DZA,13-Apr-20,89,18,43053054
Algeria,DZA,14-Apr-20,69,20,43053054
Algeria,DZA,15-Apr-20,87,12,43053054
Algeria,DZA,16-Apr-20,90,11,43053054
Algeria,DZA,17-Apr-20,108,12,43053054
Algeria,DZA,18-Apr-20,150,16,43053054
Algeria,DZA,19-Apr-20,117,3,43053054
Algeria,DZA,20-Apr-20,94,8,43053054
Algeria,DZA,21-Apr-20,89,9,43053054
Algeria,DZA,22-Apr-20,93,8,43053054
Algeria,DZA,23-Apr-20,99,10,43053054
Algeria,DZA,24-Apr-20,97,5,43053054
Algeria,DZA,25-Apr-20,120,8,43053054
Algeria,DZA,26-Apr-20,129,4,43053054
Algeria,DZA,27-Apr-20,126,6,43053054
Algeria,DZA,28-Apr-20,135,7,43053054
Algeria,DZA,29-Apr-20,132,5,43053054
Algeria,DZA,30-Apr-20,199,7,43053054
Algeria,DZA,01-May-20,158,6,43053054
Algeria,DZA,02-May-20,148,3,43053054
Algeria,DZA,03-May-20,141,6,43053054
Algeria,DZA,04-May-20,179,4,43053054
Algeria,DZA,05-May-20,174,2,43053054
Algeria,DZA,06-May-20,190,5,43053054
Algeria,DZA,07-May-20,159,6,43053054
Algeria,DZA,08-May-20,185,7,43053054
Algeria,DZA,09-May-20,187,5,43053054
Algeria,DZA,10-May-20,189,6,43053054
Algeria,DZA,11-May-20,165,8,43053054
Algeria,DZA,12-May-20,168,5,43053054
Algeria,DZA,13-May-20,176,8,43053054
Algeria,DZA,14-May-20,186,7,43053054
Algeria,DZA,15-May-20,189,7,43053054
Algeria,DZA,16-May-20,187,7,43053054
Algeria,DZA,17-May-20,192,6,43053054
Algeria,DZA,18-May-20,198,6,43053054
Algeria,DZA,19-May-20,182,7,43053054
Algeria,DZA,20-May-20,176,6,43053054
Algeria,DZA,21-May-20,165,7,43053054
Algeria,DZA,22-May-20,186,7,43053054
Algeria,DZA,23-May-20,190,7,43053054
Algeria,DZA,24-May-20,195,10,43053054
Algeria,DZA,25-May-20,193,8,43053054
Algeria,DZA,26-May-20,197,9,43053054
Algeria,DZA,27-May-20,194,8,43053054
Algeria,DZA,28-May-20,160,6,43053054
Algeria,DZA,29-May-20,140,7,43053054
Algeria,DZA,30-May-20,137,8,43053054
Andorra,AND,03-Mar-20,1,0,76177
Andorra,AND,14-Mar-20,1,0,76177
Andorra,AND,16-Mar-20,3,0,76177
Andorra,AND,17-Mar-20,9,0,76177
Andorra,AND,18-Mar-20,0,0,76177
Andorra,AND,19-Mar-20,39,0,76177
Andorra,AND,20-Mar-20,22,0,76177
Andorra,AND,21-Mar-20,0,0,76177
Andorra,AND,22-Mar-20,13,0,76177
Andorra,AND,23-Mar-20,25,0,76177
Andorra,AND,24-Mar-20,20,0,76177
Andorra,AND,25-Mar-20,31,0,76177
Andorra,AND,26-Mar-20,24,0,76177
Andorra,AND,27-Mar-20,36,3,76177
Andorra,AND,28-Mar-20,43,0,76177
Andorra,AND,29-Mar-20,41,1,76177
Andorra,AND,30-Mar-20,26,2,76177
Andorra,AND,31-Mar-20,36,2,76177
Andorra,AND,01-Apr-20,6,4,76177
Andorra,AND,02-Apr-20,14,2,76177
Andorra,AND,03-Apr-20,38,1,76177
Andorra,AND,04-Apr-20,11,1,76177
Andorra,AND,05-Apr-20,27,1,76177
Andorra,AND,06-Apr-20,35,1,76177
Andorra,AND,07-Apr-20,25,3,76177
Andorra,AND,08-Apr-20,19,1,76177
Andorra,AND,09-Apr-20,19,1,76177
Andorra,AND,10-Apr-20,19,2,76177
Andorra,AND,11-Apr-20,18,1,76177
Andorra,AND,12-Apr-20,21,2,76177
Andorra,AND,13-Apr-20,16,1,76177
Andorra,AND,14-Apr-20,8,0,76177
Andorra,AND,15-Apr-20,13,2,76177
Andorra,AND,16-Apr-20,14,2,76177
Andorra,AND,17-Apr-20,9,0,76177
Andorra,AND,18-Apr-20,14,2,76177
Andorra,AND,19-Apr-20,8,0,76177
Andorra,AND,20-Apr-20,9,1,76177
Andorra,AND,21-Apr-20,4,0,76177
Andorra,AND,22-Apr-20,0,1,76177
Andorra,AND,23-Apr-20,6,0,76177
Andorra,AND,24-Apr-20,1,0,76177
Andorra,AND,25-Apr-20,7,3,76177
Andorra,AND,26-Apr-20,2,0,76177
Andorra,AND,27-Apr-20,7,0,76177
Andorra,AND,28-Apr-20,3,0,76177
Andorra,AND,29-Apr-20,0,1,76177
Andorra,AND,30-Apr-20,0,1,76177
Andorra,AND,01-May-20,2,0,76177
Andorra,AND,02-May-20,1,1,76177
Andorra,AND,03-May-20,1,1,76177
Andorra,AND,04-May-20,1,1,76177
Andorra,AND,05-May-20,2,0,76177
Andorra,AND,06-May-20,1,1,76177
Andorra,AND,07-May-20,0,0,76177
Andorra,AND,08-May-20,1,1,76177
Andorra,AND,09-May-20,0,0,76177
Andorra,AND,10-May-20,2,1,76177
Andorra,AND,11-May-20,1,0,76177
Andorra,AND,12-May-20,1,0,76177
Andorra,AND,13-May-20,2,0,76177
Andorra,AND,14-May-20,2,1,76177
Andorra,AND,15-May-20,1,0,76177
Andorra,AND,16-May-20,0,0,76177
Andorra,AND,17-May-20,0,2,76177
Andorra,AND,18-May-20,0,0,76177
Andorra,AND,19-May-20,0,0,76177
Andorra,AND,20-May-20,0,0,76177
Andorra,AND,21-May-20,1,0,76177
Andorra,AND,22-May-20,0,0,76177
Andorra,AND,23-May-20,0,0,76177
Andorra,AND,24-May-20,0,0,76177
Andorra,AND,25-May-20,1,0,76177
Andorra,AND,26-May-20,0,0,76177
Andorra,AND,27-May-20,0,0,76177
Andorra,AND,28-May-20,0,0,76177
Andorra,AND,29-May-20,0,0,76177
Andorra,AND,30-May-20,1,0,76177
Angola,AGO,22-Mar-20,2,0,31825299
Angola,AGO,23-Mar-20,0,0,31825299
Angola,AGO,24-Mar-20,0,0,31825299
Angola,AGO,25-Mar-20,0,0,31825299
Angola,AGO,26-Mar-20,0,0,31825299
Angola,AGO,27-Mar-20,1,0,31825299
Angola,AGO,28-Mar-20,1,0,31825299
Angola,AGO,29-Mar-20,0,0,31825299
Angola,AGO,30-Mar-20,3,2,31825299
Angola,AGO,31-Mar-20,0,0,31825299
Angola,AGO,01-Apr-20,0,0,31825299
Angola,AGO,02-Apr-20,1,0,31825299
Angola,AGO,03-Apr-20,0,0,31825299
Angola,AGO,04-Apr-20,0,0,31825299
Angola,AGO,05-Apr-20,2,0,31825299
Angola,AGO,06-Apr-20,4,0,31825299
Angola,AGO,07-Apr-20,2,0,31825299
Angola,AGO,08-Apr-20,1,0,31825299
Angola,AGO,09-Apr-20,2,0,31825299
Angola,AGO,10-Apr-20,0,0,31825299
Angola,AGO,11-Apr-20,0,0,31825299
Angola,AGO,12-Apr-20,0,0,31825299
Angola,AGO,13-Apr-20,0,0,31825299
Angola,AGO,14-Apr-20,0,0,31825299
Angola,AGO,15-Apr-20,0,0,31825299
Angola,AGO,16-Apr-20,0,0,31825299
Angola,AGO,17-Apr-20,0,0,31825299
Angola,AGO,18-Apr-20,0,0,31825299
Angola,AGO,19-Apr-20,5,0,31825299
Angola,AGO,20-Apr-20,0,0,31825299
Angola,AGO,21-Apr-20,0,0,31825299
Angola,AGO,22-Apr-20,0,0,31825299
Angola,AGO,23-Apr-20,0,0,31825299
Angola,AGO,24-Apr-20,1,0,31825299
Angola,AGO,25-Apr-20,0,0,31825299
Angola,AGO,26-Apr-20,0,0,31825299
Angola,AGO,27-Apr-20,1,0,31825299
Angola,AGO,28-Apr-20,1,0,31825299
Angola,AGO,29-Apr-20,0,0,31825299
Angola,AGO,30-Apr-20,0,0,31825299
Angola,AGO,01-May-20,0,0,31825299
Angola,AGO,02-May-20,2,0,31825299
Angola,AGO,03-May-20,6,0,31825299
Angola,AGO,04-May-20,0,0,31825299
Angola,AGO,05-May-20,0,0,31825299
Angola,AGO,06-May-20,1,0,31825299
Angola,AGO,07-May-20,0,0,31825299
Angola,AGO,08-May-20,0,0,31825299
Angola,AGO,09-May-20,7,0,31825299
Angola,AGO,10-May-20,0,0,31825299
Angola,AGO,11-May-20,2,0,31825299
Angola,AGO,12-May-20,0,0,31825299
Angola,AGO,13-May-20,0,0,31825299
Angola,AGO,14-May-20,0,0,31825299
Angola,AGO,15-May-20,3,0,31825299
Angola,AGO,16-May-20,0,0,31825299
Angola,AGO,17-May-20,0,0,31825299
Angola,AGO,18-May-20,0,0,31825299
Angola,AGO,19-May-20,0,0,31825299
Angola,AGO,20-May-20,2,0,31825299
Angola,AGO,21-May-20,2,1,31825299
Angola,AGO,22-May-20,6,0,31825299
Angola,AGO,23-May-20,2,0,31825299
Angola,AGO,24-May-20,0,0,31825299
Angola,AGO,25-May-20,9,1,31825299
Angola,AGO,26-May-20,0,0,31825299
Angola,AGO,27-May-20,2,0,31825299
Angola,AGO,28-May-20,0,0,31825299
Angola,AGO,29-May-20,2,0,31825299
Angola,AGO,30-May-20,4,0,31825299
Argentina,ARG,04-Mar-20,1,0,44780675
Argentina,ARG,06-Mar-20,1,0,44780675
Argentina,ARG,07-Mar-20,6,0,44780675
Argentina,ARG,08-Mar-20,1,1,44780675
Argentina,ARG,09-Mar-20,3,0,44780675
Argentina,ARG,11-Mar-20,7,0,44780675
Argentina,ARG,13-Mar-20,12,0,44780675
Argentina,ARG,14-Mar-20,3,1,44780675
Argentina,ARG,15-Mar-20,11,0,44780675
Argentina,ARG,16-Mar-20,11,0,44780675
Argentina,ARG,17-Mar-20,9,0,44780675
Argentina,ARG,18-Mar-20,14,0,44780675
Argentina,ARG,19-Mar-20,18,0,44780675
Argentina,ARG,20-Mar-20,31,1,44780675
Argentina,ARG,21-Mar-20,30,0,44780675
Argentina,ARG,22-Mar-20,67,1,44780675
Argentina,ARG,23-Mar-20,41,0,44780675
Argentina,ARG,24-Mar-20,35,0,44780675
Argentina,ARG,25-Mar-20,86,2,44780675
Argentina,ARG,26-Mar-20,115,2,44780675
Argentina,ARG,27-Mar-20,87,4,44780675
Argentina,ARG,28-Mar-20,101,5,44780675
Argentina,ARG,29-Mar-20,55,2,44780675
Argentina,ARG,30-Mar-20,75,1,44780675
Argentina,ARG,31-Mar-20,146,4,44780675
Argentina,ARG,01-Apr-20,0,0,44780675
Argentina,ARG,02-Apr-20,167,7,44780675
Argentina,ARG,03-Apr-20,0,3,44780675
Argentina,ARG,04-Apr-20,132,3,44780675
Argentina,ARG,05-Apr-20,186,6,44780675
Argentina,ARG,06-Apr-20,103,3,44780675
Argentina,ARG,07-Apr-20,74,7,44780675
Argentina,ARG,08-Apr-20,87,7,44780675
Argentina,ARG,09-Apr-20,80,5,44780675
Argentina,ARG,10-Apr-20,99,14,44780675
Argentina,ARG,11-Apr-20,81,3,44780675
Argentina,ARG,12-Apr-20,162,7,44780675
Argentina,ARG,13-Apr-20,66,6,44780675
Argentina,ARG,14-Apr-20,69,3,44780675
Argentina,ARG,15-Apr-20,160,7,44780675
Argentina,ARG,16-Apr-20,0,4,44780675
Argentina,ARG,17-Apr-20,128,6,44780675
