countryregion,countrycode,date,s1_school,s2_work,s3_massgathering,s4_publictransport,s5_lockdown
Albania,ALB,09-Mar-20,1,0,1,0,0
Albania,ALB,10-Mar-20,1,0,1,0,0
Albania,ALB,11-Mar-20,1,1,1,0,0
Albania,ALB,12-Mar-20,1,1,1,0,0
Albania,ALB,13-Mar-20,1,1,1,1,1
Albania,ALB,14-Mar-20,1,1,1,1,1
Albania,ALB,15-Mar-20,1,1,1,1,1
Albania,ALB,16-Mar-20,1,1,1,1,1
Albania,ALB,17-Mar-20,1,1,1,1,1
Albania,ALB,18-Mar-20,1,1,1,1,1
Albania,ALB,19-Mar-20,1,1,1,1,1
Albania,ALB,20-Mar-20,1,1,1,1,1
Albania,ALB,21-Mar-20,1,1,1,1,1
Albania,ALB,22-Mar-20,1,1,1,1,1
Albania,ALB,23-Mar-20,1,1,1,1,1
Albania,ALB,24-Mar-20,1,1,1,1,1
Albania,ALB,25-Mar-20,1,1,1,1,1
Albania,ALB,26-Mar-20,1,1,1,1,1
Albania,ALB,27-Mar-20,1,1,1,1,1
Albania,ALB,28-Mar-20,1,1,1,1,1
Albania,ALB,29-Mar-20,1,1,1,1,1
Albania,ALB,30-Mar-20,1,1,1,1,1
Albania,ALB,31-Mar-20,1,1,1,1,1
Albania,ALB,01-Apr-20,1,1,1,1,1
Albania,ALB,02-Apr-20,1,1,1,1,1
Albania,ALB,03-Apr-20,1,1,1,1,1
Albania,ALB,04-Apr-20,1,1,1,1,1
Albania,ALB,05-Apr-20,1,1,1,1,1
Albania,ALB,06-Apr-20,1,1,1,1,1
Albania,ALB,07-Apr-20,1,1,1,1,1
Albania,ALB,08-Apr-20,1,1,1,1,1
Albania,ALB,09-Apr-20,1,1,1,1,1
Albania,ALB,10-Apr-20,1,1,1,1,1
Albania,ALB,11-Apr-20,1,1,1,1,1
Albania,ALB,12-Apr-20,1,1,1,1,1
Albania,ALB,13-Apr-20,1,1,1,1,1
Albania,ALB,14-Apr-20,1,1,1,1,1
Albania,ALB,15-Apr-20,1,1,1,1,1
Albania,ALB,16-Apr-20,1,1,1,1,1
Albania,ALB,17-Apr-20,1,1,1,1,1
Albania,ALB,18-Apr-20,1,1,1,1,1
Albania,ALB,19-Apr-20,1,1,1,1,1
Albania,ALB,20-Apr-20,1,1,1,1,1
Albania,ALB,21-Apr-20,1,1,1,1,1
Albania,ALB,22-Apr-20,1,1,1,1,1
Albania,ALB,23-Apr-20,1,1,1,1,1
Albania,ALB,24-Apr-20,1,1,1,1,1
Albania,ALB,25-Apr-20,1,1,1,1,1
Albania,ALB,26-Apr-20,1,1,1,1,1
Albania,ALB,27-Apr-20,1,1,1,1,1
Albania,ALB,28-Apr-20,1,1,1,1,1
Albania,ALB,29-Apr-20,1,1,1,1,1
Albania,ALB,30-Apr-20,1,1,1,1,1
Albania,ALB,01-May-20,1,1,1,1,1
Albania,ALB,02-May-20,1,1,1,1,1
Albania,ALB,03-May-20,1,1,1,1,1
Albania,ALB,04-May-20,1,1,1,1,1
Albania,ALB,05-May-20,1,1,1,1,1
Albania,ALB,06-May-20,1,1,1,1,1
Albania,ALB,07-May-20,1,1,1,1,1
Albania,ALB,08-May-20,1,1,1,1,1
Albania,ALB,09-May-20,1,1,1,1,1
Albania,ALB,10-May-20,1,1,1,1,1
Albania,ALB,11-May-20,1,1,1,1,1
Albania,ALB,12-May-20,1,1,1,1,1
Albania,ALB,13-May-20,1,1,1,1,1
Albania,ALB,14-May-20,1,1,1,1,1
Albania,ALB,15-May-20,1,1,1,1,1
Albania,ALB,16-May-20,1,1,1,1,1
Albania,ALB,17-May-20,1,1,1,1,1
Albania,ALB,18-May-20,1,1,1,1,1
Albania,ALB,19-May-20,1,1,1,1,1
Albania,ALB,20-May-20,1,1,1,1,1
Albania,ALB,21-May-20,1,1,1,1,1
Albania,ALB,22-May-20,1,1,1,1,1
Albania,ALB,23-May-20,1,1,1,1,1
Albania,ALB,24-May-20,1,1,1,1,1
Albania,ALB,25-May-20,1,1,1,1,1
Albania,ALB,26-May-20,1,1,1,1,1
Albania,ALB,27-May-20,1,1,1,1,1
Albania,ALB,28-May-20,1,1,1,1,1
Albania,ALB,29-May-20,1,1,1,1,1
Albania,ALB,30-May-20,1,1,1,1,1
Algeria,DZA,26-Feb-20,0,0,0,0,0
Algeria,DZA,27-Feb-20,0,0,0,0,0
Algeria,DZA,28-Feb-20,0,0,0,0,0
Algeria,DZA,29-Feb-20,0,0,0,0,0
Algeria,DZA,01-Mar-20,0,0,0,0,0
Algeria,DZA,02-Mar-20,0,0,0,0,0
Algeria,DZA,04-Mar-20,0,0,0,0,0
Algeria,DZA,05-Mar-20,0,0,0,0,0
Algeria,DZA,06-Mar-20,0,0,0,0,0
Algeria,DZA,09-Mar-20,0,0,0,0,0
Algeria,DZA,12-Mar-20,1,0,1,0,0
Algeria,DZA,13-Mar-20,1,0,1,0,0
Algeria,DZA,14-Mar-20,1,0,1,0,0
Algeria,DZA,15-Mar-20,1,0,1,0,0
Algeria,DZA,16-Mar-20,1,0,1,0,0
Algeria,DZA,17-Mar-20,1,0,1,0,0
Algeria,DZA,18-Mar-20,1,0,1,0,0
Algeria,DZA,19-Mar-20,1,0,1,0,0
Algeria,DZA,20-Mar-20,1,0,1,0,0
Algeria,DZA,21-Mar-20,1,0,1,0,0
